Timestamp,Extractor's Initials,Title,First Author Name,Article Type,"Quantitative synthesis (Computational Synthesis, Mathematical Synthesis)",Methodological,"Remote Sensing (satellite sensing, remote-collection, satellite-collection)","Monitoring (Surveying, routine observation, annual surveys)",Ecosystem Management/Conservation,Bleaching,Disease,Biodiversity of coral reef assemblage,Biodiversity of microbial community,Coral and/or Coral Reef Resilience/Tolerance/Adaptability,Coral Recovery/Restoration/Rehabilitation,Coral Cover/Mortality,"Pathogen (virus, bacteria, viral agent)","Microbiome (holobiont, symbionts)",Symbiosis,Climate Change,Anthropogenic Impacts,Habitat Range Shift (change in geographic range),Increased Sea Surface Temperature,UV Radiation,"Predation (e.g., invasive species)","Acidification (acidify, lowered pH, more acidic waters)","Calcification (calcify, calcified)",Bioerosion (biodegradation - breakdown of organic material through bacterial means),"Physical Damage - Wave Action (e.g., storms/cyclones/hurricanes)","Physical Damage - Human (e.g., boating, tourism, land development, shipwreck)","Chemical Exposure (e.g., oils, hormones, drugs, sewage exposure, increased nutrients, herbicides)","Non-chemical pollution (e.g., sedimentation, eutrophication, solids)",Fishing,Other,
1/30/2023 20:58:22,SB,Long-term region-wide declines in Caribbean corals,Gardner TA,"Data/Quantitative Synthesis, Meta-analysis",Yes,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,,
1/30/2023 20:53:59,SB,Transmission Mode Predicts Specificity and Interaction Patterns in Coral-Symbiodinium Networks,Fabina NS,"Data/Quantitative Synthesis, Meta-analysis",Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,,
1/30/2023 20:49:52,SB,"Hurricanes and caribbean coral reefs: Impacts, recovery patterns, and role in long-term decline",Gardner TA,"Data/Quantitative Synthesis, Meta-analysis",Yes,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,,
1/30/2023 20:46:05,SB,"Terrestrial pollutant runoff to the Great Barrier Reef: An update of issues, priorities and management responses",Brodie JE,Narrative Review,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,,
1/30/2023 20:40:55,SB,Human and coral reef use interactions: From impacts to solutions?,McClanahan TR,Narrative Review,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,MPAs,
1/30/2023 20:31:28,SB,Competition between corals and algae on coral reefs: A review of evidence and mechanisms,McCook LJ,Narrative Review,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,competition; phase shift; reproduction,
1/30/2023 20:25:43,SB,Multiple stressors on coral reefs: A long-term perspective,Hughes TP,Narrative Review,No/Unclear,Yes,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,interaction; reproduction,
1/30/2023 20:18:21,SB,"Comments on coral reef regeneration, bioerosion, biogeography, and chemical ecology: Future directions",Sammarco PW,Narrative Review,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,Yes,Yes,Yes,Yes,reproduction,
1/26/2023 17:19:55,SB,Coral reefs: beyond mortality?,Sheppard C,Narrative Review,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,,
1/26/2023 17:17:01,SB,Ecological goods and services of coral reef ecosystems,Moberg F,Narrative Review,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,,
1/26/2023 17:13:16,SB,Coral biodiversity and evolution: recent molecular contributions,Frank U,Narrative Review,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,,
1/26/2023 17:05:41,SB,"Macroalgae, nutrients and phase shifts on coral reefs: scientific issues and management consequences for the Great Barrier Reef",McCook LJ,Narrative Review,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,phase shifts; herbivory,
1/26/2023 17:00:23,SB,Coral reefs of Sri Lanka: Human disturbance and management issues,Rajasuriya A,Narrative Review,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,Yes,Yes,,
1/25/2023 16:19:23,SB,"Coral reefs of sri lanka: Review of their extent, condition, and management status",Rajasuriya A,Narrative Review,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,Yes,Yes,,
1/25/2023 11:58:53,SB,Phase shifts in coral reef communities and their ecological significance,Done TJ,Narrative Review,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,Yes,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,Yes,Yes,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,phase shift,
1/25/2023 11:46:04,SB,The effects of oil spills and dispersant use on corals. A review and multidisciplinary experimental approach,Knap AH,Narrative Review,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,,
1/25/2023 11:43:06,SB,Gene expression biomarkers of heat stress in scleractinian corals: Promises and limitations,Louis YD,Narrative Review,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,genetics,
1/24/2023 20:29:15,SB,Scientific frontiers in the management of coral reefs,Aswani S,Narrative Review,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,,
1/24/2023 20:25:42,SB,Remote sensing of coral reefs for monitoring and management: A review,Hedley JD,Narrative Review,No/Unclear,Yes,Yes,Yes,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,,
1/24/2023 20:19:20,SB,Ecological solutions to reef degradation: Optimizing coral reef restoration in the Caribbean and Western Atlantic,Lirman D,Narrative Review,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,,
1/24/2023 20:15:30,SB,Ecological limitations to the resilience of coral reefs,Mora C,Narrative Review,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,reproduction; feedback loop,
1/24/2023 17:09:52,SB,A short review of coral resilience in a changing marine environment,Amir L,Narrative Review,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,Yes,No/Unclear,Yes,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,,
1/24/2023 17:06:13,SB,Microbial processes driving coral reef organic carbon flow,Silveira CB,Narrative Review,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,Yes,Yes,No/Unclear,No/Unclear,Yes,Yes,Yes,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,phase shift,
1/24/2023 17:03:02,SB,Coral propagation: a review of techniques for ornamental trade and reef restoration,Barton JA,Narrative Review,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,reproduction,
1/24/2023 16:59:31,SB,Facing a wicked problem with optimism: issues and priorities for coral conservation in Hong Kong,Duprey NN,Narrative Review,No/Unclear,Yes,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,genetics; connectivity,
1/24/2023 16:52:22,SB,The need for broader ecological and socioeconomic tools to evaluate the effectiveness of coral restoration programs,Hein MY,Narrative Review,No/Unclear,Yes,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,Yes,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,,
1/24/2023 16:47:34,SB,The Role of Natural Variability in Shaping the Response of Coral Reef Organisms to Climate Change,Rivest EB,Narrative Review,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,,
1/24/2023 16:42:32,SB,Measuring coral reef decline through meta-analyses,Cote IM,"Data/Quantitative Synthesis, Meta-analysis",Yes,Yes,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,phase shift,
1/24/2023 16:39:13,SB,Ecosystem-based management of coral reefs under climate change,Harvey BJ,Narrative Review,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,MPAs,
1/24/2023 16:34:44,SB,Critical information gaps impeding understanding of the role of larval connectivity among coral reef islands in an era of Global Change,Edmunds PJ,Narrative Review,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,larval connectivity,
1/24/2023 16:26:22,SB,Rehabilitation of coral reefs through removal of macroalgae: state of knowledge and considerations for management and implementation,Ceccarelli DM,Narrative Review,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,Yes,reproduction; phase shift,
1/24/2023 14:24:19,SB,The Tara Pacific expedition—A pan-ecosystemic approach of the “-omics” complexity of coral reef holobionts across the Pacific Ocean,Planes S,Narrative Review,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,Yes,Yes,Yes,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,genetics,
1/24/2023 14:11:51,SB,"The 4.2 ka event, ENSO, and coral reef development",Toth LT,Narrative Review,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,accretion,
1/20/2023 17:28:04,SB,The first Hawai‘i workshop for coral restoration & nurseri,Forsman ZH,Narrative Review,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,genetics,
1/20/2023 17:24:34,SB,"Comparing biodiversity valuation approaches for the sustainable management of the Great Barrier Reef, Australia",De Valck J,Narrative Review,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,Yes,No/Unclear,,
1/20/2023 17:10:56,SB,Adapting to extreme environments: Can coral reefs adapt to climate change?,James C,Narrative Review,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,MPAs; genetics,
1/20/2023 17:06:32,SB,Coral restoration research and technical developments: what we have learned so far,Omori M,Narrative Review,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,reproduction,
1/19/2023 17:16:38,SB,"Motivations, success, and cost of coral reef restoration",Bayraktarov E,"Narrative Review, Systematic Review",No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,,
1/19/2023 17:13:54,SB,"Coral microbiome dynamics, functions and design in a changing world",van Oppen MJH,Narrative Review,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,Yes,No/Unclear,No/Unclear,Yes,Yes,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,,
1/19/2023 17:11:14,SB,"Emerging Technologies and Coral Reef Conservation: Opportunities, Challenges, and Moving Forward",Madin EMP,Narrative Review,No/Unclear,Yes,Yes,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,,
1/19/2023 12:12:08,SB,"Coral restoration – A systematic review of current methods, successes, failures and future directions",Boström-Einarsson L,"Narrative Review, Systematic Review",No/Unclear,Yes,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,,
1/19/2023 12:05:55,SB,Assessing opportunities to support coral reef climate change refugia in MPAs: A case study at the Revillagigedo Archipelago,Carter AL,Narrative Review,No/Unclear,No/Unclear,Yes,Yes,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,MPAs,
1/19/2023 12:00:17,SB,A review of symbiotic gorgonian research in the western Atlantic and Caribbean with recommendations for future work,Kupfner Johnson S,Narrative Review,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,,
1/19/2023 11:51:41,SB,The longest delay: Re-emergence of coral reef ecosystems after the Late Devonian extinctions,Yao L,Narrative Review,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,sea level,
1/19/2023 11:45:07,SB,Trophic interactions in coral reef restoration: A review,Ladd MC,Narrative Review,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,herbivory; trophic interactions,
1/19/2023 11:37:56,SB,Conceptualization of the Holobiont Paradigm as It Pertains to Corals,Goulet TL,Narrative Review,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,,
1/19/2023 11:11:41,SB,Neural Network Recognition of Marine Benthos and Corals,Raphael A,Narrative Review,No/Unclear,Yes,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,,
1/18/2023 18:04:37,SB,Sexual production of corals for reef restoration in the Anthropocene,Randall CJ,Narrative Review,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,reproduction,
1/18/2023 18:01:42,SB,"Substrate stabilisation and small structures in coral restoration: State of knowledge, and considerations for management and implementation",Ceccarelli DM,Narrative Review,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,reproduction,
1/18/2023 17:57:08,SB,Synergies between local and climate-driven impacts on coral reefs in the Tropical Pacific: A review of issues and adaptation opportunities,Dutra LXC,Narrative Review,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,,
1/18/2023 17:54:35,SB,"Turbid coral reefs: Past, present and future—a review",Zweifler A,Narrative Review,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,,
1/18/2023 17:51:24,SB,"Coral reef benthic community changes in the Anthropocene: Biogeographic heterogeneity, overlooked configurations, and methodology",Reverter M,"Narrative Review, Data/Quantitative Synthesis, Meta-analysis, Systematic Review",Yes,Yes,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,phase shift,
1/18/2023 17:46:51,SB,Meta-analysis of the coral environmental stress response:Acroporacorals show opposing responses depending on stress intensity,Dixon G,"Data/Quantitative Synthesis, Meta-analysis",Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,genetic response,
